source,title,company,logo,location,job_type,date_posted,date_ago,url,see_more
Farojob,Société d’électroménager recrute Responsable hygiène et entretien Bâtiments,Société d’électroménager,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"Tunis, Gouvernorat de Tunis, Tunisie",Secteur privé,4 septembre 2025,il y a 3 mois,https://www.farojob.net/jobs/societe-delectromenager-recrute-responsable-hygiene-et-entretien-batiments/,https://www.farojob.net/jobs/societe-delectromenager-recrute-responsable-hygiene-et-entretien-batiments/
Farojob,Clinique du centre recrute Agent de Réception (Homme),Clinique du centre,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,"Avenue 2 Mars, Ksar Hellal, Tunisia",Secteur privé,29 août 2025,il y a 3 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-agent-de-reception-homme/,https://www.farojob.net/jobs/clinique-du-centre-recrute-agent-de-reception-homme/
Farojob,Clinique du centre recrute Technicien Biomédical (option Radiologie),Clinique du centre,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,"Avenue 2 Mars, Ksar Hellal, Tunisia",Secteur privé,20 août 2025,il y a 3 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-biomedical-option-radiologie/,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-biomedical-option-radiologie/
Farojob,Clinique du centre recrute Technicien de Maintenance Industrielle,Clinique du centre,https://www.farojob.net/wp-content/uploads/2024/07/LOGO-100x100.png,"Avenue 2 Mars, Ksar Hellal, Tunisia",Secteur privé,20 août 2025,il y a 3 mois,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-de-maintenance-industrielle/,https://www.farojob.net/jobs/clinique-du-centre-recrute-technicien-de-maintenance-industrielle/
Farojob,AGRIUP DISTRIBUTION recrute Agent Commercial Sédentaire (H/F),AGRIUP DISTRIBUTION,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Megrine,Secteur privé,18 août 2025,il y a 3 mois,https://www.farojob.net/jobs/agriup-distribution-recrute-agent-commercial-sedentaire-h-f/,https://www.farojob.net/jobs/agriup-distribution-recrute-agent-commercial-sedentaire-h-f/
Farojob,AGRIUP DISTRIBUTION recrute Technico-Commercial Intrants Agricoles (H/F),AGRIUP DISTRIBUTION,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,Megrine,Secteur privé,18 août 2025,il y a 3 mois,https://www.farojob.net/jobs/agriup-distribution-recrute-technico-commercial-intrants-agricoles-h-f/,https://www.farojob.net/jobs/agriup-distribution-recrute-technico-commercial-intrants-agricoles-h-f/
Farojob,Concours Ministère de la jeunesse et des sports pour le recrutement de 440 Professeurs – 2025,Ministère de la jeunesse et des sports,https://www.farojob.net/wp-content/uploads/2024/03/mjs-sport-100x100.png,N/A,Concours Tunisie,29 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/concours-ministere-de-la-jeunesse-et-des-sports-pour-le-recrutement-de-440-professeurs-2025/,https://www.farojob.net/jobs/concours-ministere-de-la-jeunesse-et-des-sports-pour-le-recrutement-de-440-professeurs-2025/
Farojob,Concours Ministère de la Justice pour le recrutement de 117 Aide Greffier du Tribunal – 2025,Ministère de la Justice,https://www.farojob.net/wp-content/uploads/2016/12/e-justice-2014-1.jpg,N/A,Concours Tunisie,29 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/concours-ministere-de-la-justice-pour-le-recrutement-de-117-aide-greffier-du-tribunal-2025/,https://www.farojob.net/jobs/concours-ministere-de-la-justice-pour-le-recrutement-de-117-aide-greffier-du-tribunal-2025/
Farojob,Concours Ministère de la Justice pour le recrutement de 105 Greffier du Tribunal – 2025,Ministère de la Justice,https://www.farojob.net/wp-content/uploads/2016/12/e-justice-2014-1.jpg,N/A,Concours Tunisie,29 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/ministere-de-la-justice-pour-le-recrutement-de-105-greffier-du-tribunal-2025/,https://www.farojob.net/jobs/ministere-de-la-justice-pour-le-recrutement-de-105-greffier-du-tribunal-2025/
Farojob,Concours Ministère de l’Intérieur pour le recrutement d’Agents de la Garde National – 2025,Ministère de l’interieur,https://www.farojob.net/wp-content/uploads/2018/05/ministere-de-l-interieur.png,N/A,Concours Tunisie,29 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/concours-ministere-de-linterieur-pour-le-recrutement-dagents-de-la-garde-national-2025/,https://www.farojob.net/jobs/concours-ministere-de-linterieur-pour-le-recrutement-dagents-de-la-garde-national-2025/
Farojob,Groupe de Société recrute Directeur Administratif et Financier (DAF),Groupe de Société,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"Sfax Ville, Tunisie",Secteur privé,21 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/groupe-de-societe-recrute-directeur-administratif-et-financier-daf/,https://www.farojob.net/jobs/groupe-de-societe-recrute-directeur-administratif-et-financier-daf/
Farojob,Groupe de Société recrute Comptable,Groupe de Société,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"Sfax, Gouvernorat de Sfax, Tunisie",Secteur privé,21 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/groupe-de-societe-recrute-comptable/,https://www.farojob.net/jobs/groupe-de-societe-recrute-comptable/
Farojob,Université Mahmoud El Materi recrute Bibliothécaire,Université Mahmoud El Materi,https://www.farojob.net/wp-content/uploads/2021/01/UMM-LOGO-vertical-2019-sans-trans.png,Montplaisir,Secteur privé,16 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-bibliothecaire/,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-bibliothecaire/
Farojob,Université Mahmoud El Materi recrute Surveillant(e),Université Mahmoud El Materi,https://www.farojob.net/wp-content/uploads/2021/01/UMM-LOGO-vertical-2019-sans-trans.png,Montplaisir,Secteur privé,16 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-surveillante/,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-surveillante/
Farojob,Université Mahmoud El Materi recrute Un(e) chargé(e) de bureau d’ordre,Université Mahmoud El Materi,https://www.farojob.net/wp-content/uploads/2021/01/UMM-LOGO-vertical-2019-sans-trans.png,Montplaisir,Secteur privé,16 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-une-chargee-de-bureau-dordre/,https://www.farojob.net/jobs/universite-mahmoud-el-materi-recrute-une-chargee-de-bureau-dordre/
Farojob,Call In Call Out recrute Télé-Opérateur,Call In Call Out,https://www.farojob.net/wp-content/uploads/2025/05/logo_white_background-2-100x100.jpg,khzema ouest,Secteur privé,15 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur/,https://www.farojob.net/jobs/call-in-call-out-recrute-tele-operateur/
Farojob,Call In Call Out recrute Agent IT,Call In Call Out,https://www.farojob.net/wp-content/uploads/2025/05/logo_white_background-2-100x100.jpg,khzema ouest,Secteur privé,15 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/call-in-call-out-recrute-agent-it/,https://www.farojob.net/jobs/call-in-call-out-recrute-agent-it/
Farojob,IT-MMA recrute Commercial/e IT,IT-MMA,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"Bizerte, Tunisie",Secteur privé,12 mai 2025,il y a 6 mois,https://www.farojob.net/jobs/it-mma-recrute-commercial-e-it/,https://www.farojob.net/jobs/it-mma-recrute-commercial-e-it/
Farojob,Digiarts recrute Téléconseiller(e)s en Assurance,digiarts,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"سوسة, سوسة, تونس‎",Secteur privé,30 avril 2025,il y a 7 mois,https://www.farojob.net/jobs/digiarts-recrute-teleconseilleres-en-assurance/,https://www.farojob.net/jobs/digiarts-recrute-teleconseilleres-en-assurance/
Farojob,Digiarts recrute Créateur(trice) de contenu / Rédacteur(trice),digiarts,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"سوسة, سوسة, تونس‎",Secteur privé,15 avril 2025,il y a 7 mois,https://www.farojob.net/jobs/digiarts-recrute-createurtrice-de-contenu-redacteurtrice/,https://www.farojob.net/jobs/digiarts-recrute-createurtrice-de-contenu-redacteurtrice/
Farojob,Digiarts recrute Spécialiste en Marketing Numérique & Influence,digiarts,https://www.farojob.net/wp-content/themes/noo-jobmonster/assets/images/company-logo.png,"سوسة, سوسة, تونس‎",Secteur privé,15 avril 2025,il y a 7 mois,https://www.farojob.net/jobs/digiarts-recrute-specialiste-en-marketing-numerique-influence/,https://www.farojob.net/jobs/digiarts-recrute-specialiste-en-marketing-numerique-influence/
