source,title,company,logo,experience,job_type,work_mode,salary,skills,published,modified,url
TuniJobs,🎯 Consultant(e) spécialisé(e) en appels d’offres européens – Logiciels SaaS (France & Europe),Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Appel d'offre MAPA AO,Publié:il y a 15 jours,N/A,/company/backoff-solutions/jobs/backoff-solutions-consultant-e-specialise-e-en-appels-doffres-europeens-logiciels-saas-france-and-europe
TuniJobs,Conseiller Commercial Mutuelle Santé & Prévoyance (H/F),Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68d12ab060b99373a90ec170%2Fc2f27f59-2123-49c2-9984-d011ff838d5c.png&w=128&q=75,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,"Sens du service et de l'écoute... Dynamisme, Proactivité, Capaci...",Publié:il y a un mois,Publié:il y a un mois,/company/adam-eden-eva/jobs/adam-eden-eva-conseiller-commercial-mutuelle-sante-and-prevoyance-h-f
TuniJobs,Support Commercial – Prise de commandes & Recouvrement,Expérience1-2 ansType d'emploiCDIMode de travailTélétravail completRémunération700 - 1300 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,Expérience1-2 ansType d'emploiCDIMode de travailTélétravail completRémunération700 - 1300 DT,Expérience1-2 ansType d'emploiCDIMode de travailTélétravail completRémunération700 - 1300 DT,Expérience1-2 ansType d'emploiCDIMode de travailTélétravail completRémunération700 - 1300 DT,Expérience1-2 ansType d'emploiCDIMode de travailTélétravail completRémunération700 - 1300 DT,Relation ClientB2B CRM Autonomie + 2 de plus,Publié:il y a 5 mois,Publié:il y a 5 mois,/company/backoff-solutions/jobs/backoff-solutions-support-commercial-prise-de-commandes-and-saisie-h-f
TuniJobs,🎯 Consultant(e) spécialisé(e) en appels d’offres européens – Logiciels SaaS (France & Europe),Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Appel d'offre MAPA AO,Publié:il y a 15 jours,N/A,/company/backoff-solutions/jobs/backoff-solutions-consultant-e-specialise-e-en-appels-doffres-europeens-logiciels-saas-france-and-europe
TuniJobs,Comptable / Gestionnaire de paies Sénior - Télétravail,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunération1400 - 1900 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunération1400 - 1900 DT,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunération1400 - 1900 DT,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunération1400 - 1900 DT,Expérience2-5 ansType d'emploiCDIMode de travailTélétravail completRémunération1400 - 1900 DT,Sage100 Cegid Silae,Publié:il y a 10 mois,Publié:il y a 10 mois,/company/backoff-solutions/jobs/backoff-solutions-comptable-senior-teletravail
TuniJobs,architecte - décoratrice,ExpérienceSans expérienceType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F691aea293e64983016205951%2Ff247b085-58f3-485f-a5b5-34c9ce8147e4.jpg&w=128&q=75,ExpérienceSans expérienceType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,ExpérienceSans expérienceType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,ExpérienceSans expérienceType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,ExpérienceSans expérienceType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,architecte,Publié:il y a un jour,N/A,/company/chateau-dax/jobs/chateau-dax-architecte-decoratrice
TuniJobs,Technicien conducteur de Plieuse numérique,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération800 - 1200 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F69182c8dfdf4763f63d44500%2F7a12ecd3-d0a9-4600-bb32-546d3bc8fb5b.png&w=128&q=75,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération800 - 1200 DT,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération800 - 1200 DT,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération800 - 1200 DT,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération800 - 1200 DT,pliage,Publié:il y a 7 jours,Publié:il y a 7 jours,/company/dps-laser/jobs/dps-laser-technicien-conducteur-de-plieuse-numerique
TuniJobs,Consultant(e) Paie Sage Ligne 100,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F6914a6cca6d396f0b8ef4c88%2Fa97101b1-cc41-4d4e-8d8c-14f9bd2313cf.png&w=128&q=75,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Sage Paie ligne 100,Publié:il y a 9 jours,N/A,/company/mediasoft/jobs/mediasoft-consultant-e-paie-sage-ligne-100
TuniJobs,Techniciens & Ingénieurs Support Applicatif (FR),"Expérience2-5 ansType d'emploiCDI, CIVPMode de travailPrésentielRémunération1500 - 2050 DT",/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68873bdec3af0aac2f601296%2F76a84654-c0f0-4073-9d6c-1134c31a3828.png&w=128&q=75,"Expérience2-5 ansType d'emploiCDI, CIVPMode de travailPrésentielRémunération1500 - 2050 DT","Expérience2-5 ansType d'emploiCDI, CIVPMode de travailPrésentielRémunération1500 - 2050 DT","Expérience2-5 ansType d'emploiCDI, CIVPMode de travailPrésentielRémunération1500 - 2050 DT","Expérience2-5 ansType d'emploiCDI, CIVPMode de travailPrésentielRémunération1500 - 2050 DT",Windows et Linux Outils de ticketing Bases de données,Publié:il y a 4 mois,Publié:il y a 4 mois,/company/kopileft-services/jobs/kopileft-services-techniciens-and-ingenieurs-support-applicatif-fr
TuniJobs,GESTIONNAIRE DE PAIE,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1400 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F6911b11ba6d396f0b8ee562e%2F7b0b1421-7c13-41cb-8d59-58af7b29050a.jpg&w=128&q=75,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1400 DT,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1400 DT,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1400 DT,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1400 DT,RESSOURCES HUMAINES,Publié:il y a 11 jours,N/A,/company/staffing-tunisia/jobs/staffing-tunisia-gestionnaire-de-paie
