source,title,company,logo,experience,job_type,work_mode,salary,skills,published,modified,url
TuniJobs,Office Manager,Expérience1-2 ansType d'emploiCDIMode de travailHybrideRémunération800 - 1150 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F6904ba3b91dd87b31ee5eb7b%2Fe57e85cd-b283-40e3-9f91-0ea166bdcd23.png&w=128&q=75,Expérience1-2 ansType d'emploiCDIMode de travailHybrideRémunération800 - 1150 DT,Expérience1-2 ansType d'emploiCDIMode de travailHybrideRémunération800 - 1150 DT,Expérience1-2 ansType d'emploiCDIMode de travailHybrideRémunération800 - 1150 DT,Expérience1-2 ansType d'emploiCDIMode de travailHybrideRémunération800 - 1150 DT,Traduction Création contenu,Publié:il y a 21 jours,Publié:il y a 21 jours,/company/biderja/jobs/biderja-office-manager
TuniJobs,Commercial,Expérience1-2 ansType d'emploiCDIMode de travailHybrideRémunération750 - 1200 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F6904ba3b91dd87b31ee5eb7b%2Fe57e85cd-b283-40e3-9f91-0ea166bdcd23.png&w=128&q=75,Expérience1-2 ansType d'emploiCDIMode de travailHybrideRémunération750 - 1200 DT,Expérience1-2 ansType d'emploiCDIMode de travailHybrideRémunération750 - 1200 DT,Expérience1-2 ansType d'emploiCDIMode de travailHybrideRémunération750 - 1200 DT,Expérience1-2 ansType d'emploiCDIMode de travailHybrideRémunération750 - 1200 DT,Communication de vente Français,Publié:il y a 21 jours,Publié:il y a 21 jours,/company/biderja/jobs/biderja-commercial
TuniJobs,Chargé(e) de télévente  (BtoB) - Télétravail,Expérience6-12 moisType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,Expérience6-12 moisType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience6-12 moisType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience6-12 moisType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience6-12 moisType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,télévente adv,Publié:il y a 6 mois,Publié:il y a 6 mois,/company/backoff-solutions/jobs/backoff-solutions-charge-e-de-televente-btob-teletravail
TuniJobs,Ingénieur Génie Civil,"ExpérienceSans expérienceType d'emploiCDI, CIVP, Al KaramaMode de travailPrésentielRémunération500 - 1000 DT",/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F690248a183dab8a0fd22fca8%2F457dfd6f-aad4-42e2-9d57-666bd1091517.jpg&w=128&q=75,"ExpérienceSans expérienceType d'emploiCDI, CIVP, Al KaramaMode de travailPrésentielRémunération500 - 1000 DT","ExpérienceSans expérienceType d'emploiCDI, CIVP, Al KaramaMode de travailPrésentielRémunération500 - 1000 DT","ExpérienceSans expérienceType d'emploiCDI, CIVP, Al KaramaMode de travailPrésentielRémunération500 - 1000 DT","ExpérienceSans expérienceType d'emploiCDI, CIVP, Al KaramaMode de travailPrésentielRémunération500 - 1000 DT",Ingénieur Génie Civil,Publié:il y a 23 jours,Publié:il y a 23 jours,/company/generale-consulting-gc/jobs/generale-consulting-gc-ingenieur-genie-civil
TuniJobs,Support Commercial – Prise de commandes & Recouvrement,Expérience1-2 ansType d'emploiCDIMode de travailTélétravail completRémunération700 - 1300 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,Expérience1-2 ansType d'emploiCDIMode de travailTélétravail completRémunération700 - 1300 DT,Expérience1-2 ansType d'emploiCDIMode de travailTélétravail completRémunération700 - 1300 DT,Expérience1-2 ansType d'emploiCDIMode de travailTélétravail completRémunération700 - 1300 DT,Expérience1-2 ansType d'emploiCDIMode de travailTélétravail completRémunération700 - 1300 DT,Relation ClientB2B CRM Autonomie + 2 de plus,Publié:il y a 5 mois,Publié:il y a 5 mois,/company/backoff-solutions/jobs/backoff-solutions-support-commercial-prise-de-commandes-and-saisie-h-f
TuniJobs,Coursier,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68f75b9ceac5723064a1cbe6%2Fe4692d51-a69c-4014-960e-dbccff8e8041.png&w=128&q=75,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Bonne connaissance du Grand Tu...,Publié:il y a un mois,Publié:il y a un mois,/company/mecanica/jobs/mecanica-coursier
TuniJobs,Billettiste – Agence de Voyages,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunération800 - 1100 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68f214e2fc76242ef406ddce%2F696de56f-4a2a-4c89-bac9-f8659fac437d.png&w=128&q=75,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunération800 - 1100 DT,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunération800 - 1100 DT,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunération800 - 1100 DT,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunération800 - 1100 DT,Amadeus (incontournable) NDC (atout) Arabe + 13 de plus,Publié:il y a un mois,Publié:il y a un mois,/company/take-off-travel/jobs/take-off-travel-billettiste-agence-de-voyages
TuniJobs,Senior Web Marketing,"Expérience5-7 ansType d'emploiCDI, CDDMode de travailHybrideRémunération1500 - 2000 DT",/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68be8fe676de48ffc3c34bfc%2F48e7ece1-eb48-4b4b-bb63-67ed6c85b284.png&w=128&q=75,"Expérience5-7 ansType d'emploiCDI, CDDMode de travailHybrideRémunération1500 - 2000 DT","Expérience5-7 ansType d'emploiCDI, CDDMode de travailHybrideRémunération1500 - 2000 DT","Expérience5-7 ansType d'emploiCDI, CDDMode de travailHybrideRémunération1500 - 2000 DT","Expérience5-7 ansType d'emploiCDI, CDDMode de travailHybrideRémunération1500 - 2000 DT",Capacité à interpréter les don... Suivi et analyse des KPI : acq... Esprit d’analyse et rigueur da... + 5 de plus,Publié:il y a un mois,Publié:il y a un mois,/company/leonemtravel/jobs/leonemtravel-senior-web-marketing
TuniJobs,Mission Freelance – Ingénieur Angular et Java Senior,Expérience5-7 ansType d'emploiFreelanceMode de travailHybrideRémunération2000 - 5000 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68ef89e9eac5723064a07c91%2F2766c9e5-d56c-407b-8941-0c6d0e47f3f7.jpg&w=128&q=75,Expérience5-7 ansType d'emploiFreelanceMode de travailHybrideRémunération2000 - 5000 DT,Expérience5-7 ansType d'emploiFreelanceMode de travailHybrideRémunération2000 - 5000 DT,Expérience5-7 ansType d'emploiFreelanceMode de travailHybrideRémunération2000 - 5000 DT,Expérience5-7 ansType d'emploiFreelanceMode de travailHybrideRémunération2000 - 5000 DT,angular java,Publié:il y a un mois,Publié:il y a un mois,/company/spark-talent-alliance/jobs/spark-talent-alliance-mission-freelance-ingenieur-angular-et-java-senior
TuniJobs,TECHNCIENNE EN BIOMEDICALE,ExpérienceSans expérienceType d'emploiCIVPMode de travailPrésentielRémunération700 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68c9385d728f154b8fc76103%2F997fe3a6-8d9c-41ad-9072-fe7652ccd8c6.png&w=128&q=75,ExpérienceSans expérienceType d'emploiCIVPMode de travailPrésentielRémunération700 DT,ExpérienceSans expérienceType d'emploiCIVPMode de travailPrésentielRémunération700 DT,ExpérienceSans expérienceType d'emploiCIVPMode de travailPrésentielRémunération700 DT,ExpérienceSans expérienceType d'emploiCIVPMode de travailPrésentielRémunération700 DT,Configurer l'installation et e...,Publié:il y a un mois,Publié:il y a un mois,/company/clinique-elmourouj/jobs/clinique-elmourouj-techncienne-en-biomedicale
TuniJobs,Télé-commercial Expérimenté,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunération1250 - 1650 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F685283ebd3259025ae2bbf97%2Ff9b722d8-df6f-439a-8ffc-49c2854dc767.png&w=128&q=75,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunération1250 - 1650 DT,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunération1250 - 1650 DT,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunération1250 - 1650 DT,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunération1250 - 1650 DT,appel sortant francais excellent force de vente + 1 de plus,Publié:il y a un mois,Publié:il y a un mois,/company/madani-call-center/jobs/madani-call-center-tele-commercial-experimente
TuniJobs,Un(e)  gestionnaire de facturation française,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68dce940797a027b968e1fb6%2F8fcfded4-0e8c-42f6-a46e-569c43f76850.png&w=128&q=75,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Saisie et vérification des fac... Suivi des paiements et des enc... Maîtrise de la facturation cli... + 4 de plus,Publié:il y a un mois,Publié:il y a un mois,/company/maxiom-de-metal-2000-groupe/jobs/maxiom-de-metal-2000-groupe-un-e-gestionnaire-de-facturation-francaise
TuniJobs,chauffeur semi-remorque  à Morneg,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68e42389fe970fe19ff467b1%2Fdd295034-9d62-414c-a4ac-776203e4883d.png&w=128&q=75,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,rigoureux,Publié:il y a un mois,Publié:il y a un mois,/company/2s-consulting/jobs/2s-consulting-chauffeur-semi-remorque-a-morneg
